기업명,감성지수
화인베스틸,12
쌍용정보통신,12
엘티삼보,12
APS홀딩스,12
참좋은여행,12
우리넷,12
영우디에스피,12
대신정보통신,12
한국금융지주,12
씨티씨바이오,12
퓨쳐켐,12
KC코트렐,12
켐트로닉스,12
이도바이오,12
코스텍시스,12
엑사이엔씨,12
삼영화학,12
세종텔레콤,12
에쓰씨엔지니어링,11
이엠텍,11
코너스톤네트웍스,11
한국주강,11
SG세계물산,11
코리안리,11
샘씨엔에스,11
엘브이엠씨홀딩스,11
효성오앤비,11
모바일어플라이언스,11
계양전기,11
갤럭시아머니트리,11
포인트엔지니어링,11
넥센타이어,11
덕양산업,11
효성화학,11
에스에너지,11
금호석유,11
SGA솔루션즈,11
휴온스블러썸,11
지에스엔텍,11
삼성출판사,11
모베이스전자,11
씨에스윈드,11
이베스트투자증권,11
미래테크놀로지,11
아이원스,11
마이더스AI,11
영풍정밀,11
피제이메탈,11
대모,11
KTcs,11
에이치시티,11
국도화학,11
디에스케이,11
켐온,11
노드메이슨,10
와이제이엠게임즈,10
디와이,10
윌비스,10
네오티스,10
한신공영,10
SIMPAC,10
엠투아이,10
도화엔지니어링,10
신한알파리츠,10
한솔제지,10
칩스앤미디어,10
SG글로벌,10
신화콘텍,10
다함이텍,10
아미노로직스,10
코리아에프티,10
인피니트헬스케어,10
현우산업,10
위니아딤채,10
KPX홀딩스,10
인포마크,10
필옵틱스,10
솔브레인홀딩스,10
우리조명,10
엔에스쇼핑,10
곰앤컴퍼니,10
에스트래픽,10
서린바이오,10
유니온커뮤니티,10
옵트론텍,10
이지스레지던스리츠,10
티사이언티픽,10
이상네트웍스,10
에이디칩스,10
SGC이테크건설,10
한국카본,10
이지바이오,10
한화플러스,10
대한제강,10
큐렉소,10
팬오션,10
대성창투,10
세아홀딩스,10
베트남개발1,10
팅크웨어,10
GS글로벌,10
휴벡셀,9
현대비앤지스틸,9
아모레퍼시픽,9
연이비앤티,9
해태제과식품,9
대창솔루션,9
남화토건,9
하림지주,9
씨큐브,9
JB금융지주,9
아이케이세미콘,9
이구산업,9
성신양회,9
감성코퍼레이션,9
SNT중공업,9
신성통상,9
SFA반도체,9
동국S&C,9
테크트랜스,9
디지탈옵틱,9
경인전자,9
아모레G3우,9
자비스,9
스튜디오산타클로스,9
제주국제컨벤,9
삼아알미늄,9
케이씨텍,9
디지털대성,9
영원무역홀딩스,9
다원넥스뷰,9
엔에이치스팩17호,9
메가스터디,9
제주반도체,9
미래에셋대우스팩3호,9
성광벤드,9
코퍼스코리아,9
씨앤씨인터내셔널,9
테크엔,9
세진중공업,9
엠소닉,9
태림포장,9
아이디피,9
선진뷰티사이언스,8
제노텍,8
한컴MDS,8
한독크린텍,8
동운아나텍,8
디엠티,8
클리노믹스,8
알엔투테크놀로지,8
창해에탄올,8
셀바스AI,8
한솔케미칼,8
넥스트아이,8
아이씨디,8
이베스트이안스팩1호,8
에스코넥,8
푸른기술,8
크루셜텍,8
금화피에스시,8
대화제약,8
한국콜마홀딩스,8
그린케미칼,8
기산텔레콤,8
동방아그로,8
KG케미칼,8
레드캡투어,8
하이투자증권,8
NICE평가정보,8
에스제이켐,8
레드로버,8
대성산업,8
유안타,8
세중,8
유비케어,8
SUN&L,8
로체시스템즈,8
대신밸런스,8
멕아이씨에스,8
제이앤드,8
동부건설,8
다우기술,8
JYP Ent.,8
하나머티리얼즈,8
엘비세미콘,8
에이아이비트,8
엔에스엔,8
레인보우로보틱스,8
사람인에이치알,8
현대그린푸드,8
한국경제TV,8
루켄테크놀러지스,8
골드퍼시픽,7
오킨스전자,7
현대에버다임,7
보령제약,7
동우당제약,7
모비스,7
제로투세븐,7
엘앤에프,7
KH 일렉트론,7
에이펙스인텍,7
에코프로비엠,7
우리종금,7
유유제약,7
우리금융캐피탈,7
이브이첨단소재,7
LX세미콘,7
대한유화,7
효성,7
SBS,7
어보브반도체,7
맥스로텍,7
씨젠,7
CSA 코스믹,7
이노와이즈,7
에스디생명공학,7
하나머스트,7
대정화금,7
문배철강,7
녹십자셀,7
뿌리깊은나무들,7
엠에프엠코리아,7
비덴트,7
더블유게임즈,7
네오팜,7
기신정기,7
박셀바이오,7
투에버,7
국영지앤엠,7
삼아제약,7
아이에스동서,7
퓨쳐스트림네트웍스,7
신화인터텍,7
종근당,7
상상인증권,7
이노와이어리스,7
코리아써키트,7
유엑스엔,7
마이크로프랜드,7
엘에스아이앤디,7
롯데글로벌로지스,7
원익QnC,7
아바코,7
한일홀딩스,6
웰크론한텍,6
케이티파워텔,6
파인테크닉스,6
대한광통신,6
휴스틸,6
쿠쿠홀딩스,6
파마리서치,6
이비테크,6
삼성머스트,6
미래생명자원,6
와이솔,6
케이탑리츠,6
테이팩스,6
하이즈항공,6
지엔코,6
영원무역,6
파워 고배당저변동성,6
일신방직,6
에스큐사이언스,6
릭스솔루션,6
잇츠한불,6
일양약품,6
덴티움,6
판타지오,6
레이,6
정상제이엘에스,6
코윈테크,6
대원산업,6
오리엔트전자,6
에프엔에스테크,6
디엔에프,6
이그잭스,6
삼현철강,6
테크윙,6
쿠쿠홈시스,6
파라텍,6
라이온켐텍,6
메리츠금융지주,6
동아엘텍,6
코아시아옵틱스,6
피에스텍,6
이화공영,6
맵스리얼티1,6
큐에스아이,6
액트로,6
지코,6
대원화성,6
누리플렉스,6
한올바이오파마,6
서암기계공업,6
LX인터내셔널,6
롯데케미칼,6
잘만테크,6
서한,6
제이엠아이,6
NHN,6
솔브레인,6
유티아이,6
엔브이에이치코리아,6
이엔에프테크놀로지,6
피에스케이홀딩스,6
롯데제과,6
KTOP 코스피50,6
텔레필드,6
미래에셋대우스팩 5호,6
신원종합개발,6
와이즈버즈,6
제주항공,5
MH에탄올,5
유성티엔에스,5
씨앤에스자산관리,5
키움증권,5
비아트론,5
현대퓨처넷,5
엔텔스,5
아가방컴퍼니,5
서호전기,5
경남스틸,5
덕신하우징,5
대우부품,5
매직마이크로,5
한국특강,5
네추럴FNP,5
메디안디노스틱,5
케이엠더블유,5
바다로19호,5
실력산업,5
엠앤씨생명과학,5
에스에이티이엔지,5
신영건설,5
비보존 헬스케어,5
동아,5
동신건설,5
서울가스,5
하이록코리아,5
모비릭스,5
자안코스메틱,5
국일신동,5
파버나인,5
영풍,5
클라우드에어,5
SK하이닉스,5
경동나비엔,5
피에스엠씨,5
TBH글로벌,5
핸디소프트,5
셀바스헬스케어,5
백광산업,5
PN풍년,5
미원상사,5
일야,5
동원수산,5
하이텍팜,5
화승엔터프라이즈,5
아바텍,5
지투알,4
팬엔터테인먼트,4
삼성바이오로직스,4
에이디테크놀로지,4
에스텍,4
SK디앤디,4
드림시큐리티,4
아진산업,4
영화금속,4
NAVER,4
메디쎄이,4
대주산업,4
상아프론테크,4
계룡건설,4
인콘,4
에코플라스틱,4
오스코텍,4
웅진,4
스페코,4
케이씨피드,4
에스엠,4
에스엠비나,4
마이티 코스피,4
한일사료,4
코엔스,4
대동고려삼,4
아하정보통신,4
CJ씨푸드,4
윈팩,4
애경유화,4
케이피에스,4
아이에이,4
나우IB,4
펩트론,4
KBI메탈,4
엔지브이아이,4
기업은행,4
성창오토텍,4
제이에스티나,4
현대제철,4
윈텍,4
피에이치씨,4
호텔신라,4
하이스틸,4
율촌화학,4
제일연마,4
삼일씨엔에스,4
유니포인트,4
서전기전,4
지트리비앤티,4
WI,4
덕산하이메탈,4
모두투어,4
고려제약,4
삼성카드,4
미애부,4
에이엔피,4
메타랩스,4
대호특수강,4
제우스,4
이즈미디어,4
로보쓰리,4
세종공업,4
디에스티,3
남선알미늄,3
퍼스텍,3
장원테크,3
소프트센,3
한성기업,3
아모센스,3
인동첨단소재,3
이성씨엔아이,3
한솔로지스틱스,3
KBS미디어,3
메디프론,3
동국산업,3
메지온,3
플랜티넷,3
에어미디어,3
GS,3
코드네이처,3
대유에이텍,3
휴맥스홀딩스,3
삼성엔지니어링,3
제일테크노스,3
티티씨디펜스,3
서울전자통신,3
플레이디,3
태경산업,3
동서,3
코리아에스이,3
푸드웰,3
코스나인,3
한일시멘트,3
한솔홈데코,3
대림B&Co,3
한국알콜,3
넥슨지티,3
부국증권,3
덕우전자,3
한국정보공학,3
하나투어,3
동우팜투테이블,3
KC그린홀딩스,3
에스에스알,3
극동유화,3
현대공업,3
시큐브,3
아남전자,3
씨앤투스성진,3
우리산업홀딩스,3
와이팜,3
HANATOURIST,3
대성미생물,3
썬테크,3
자안바이오,3
대원강업,3
코위버,3
아프리카TV,3
이미지스,3
휴럼,3
미래아이앤지,3
삼정펄프,2
미창석유,2
프로스테믹스,2
제이씨현시스템,2
모토닉,2
엠젠플러스,2
인팩,2
나인테크,2
삼화콘덴서,2
황금에스티,2
태영건설,2
미래에셋맵스리츠,2
엘리비젼,2
모두투어리츠,2
드래곤플라이,2
서진시스템,2
한국,2
보해양조,2
비케이탑스,2
삼성스팩4호,2
SMART 중국본토 중소형 CSI500,2
엔피디,2
타이거일렉,2
한농화성,2
SJM홀딩스,2
네비게이터 친환경자동차밸류체인액티브,2
SMART KIS단기통안채,2
한국주철관,2
신세계푸드,2
CJ,2
한진중공업홀딩스,2
성우하이텍,2
한라홀딩스,2
아이에스이커머스,2
에이스테크,2
대양금속,2
조인트리,2
에스티아이,2
유니테스트,2
수성이노베이션,2
삼영이엔씨,2
서산,2
현대이지웰,2
웰크론,2
상신이디피,2
테라젠이텍스,2
KTis,2
폴루스바이오팜,2
에이치엘비생명과학,2
이퓨쳐,2
선도전기,2
리노공업,2
인터지스,2
AK홀딩스,2
뉴로스,2
대호에이엘,2
한국전자홀딩스,2
현대아산,2
부산주공,2
콜마파마,2
지유온,2
지엔씨에너지,2
우리손에프앤지,2
빅솔론,2
인텍플러스,2
뉴프렉스,2
THE MIDONG,2
비상교육,2
쎄트렉아이,2
화일약품,2
동일고무벨트,2
동양생명,2
싸이맥스,2
코오롱플라스틱,1
판도라티비,1
삼목에스폼,1
한라IMS,1
상보,1
손오공,1
코스텍3우,1
셀트리온헬스케어,1
SDN,1
LG,1
앙츠,1
DSR제강,1
에스엠코어,1
나노캠텍,1
엘에이티,1
완도전복,1
대백저축은행,1
KG이니시스,1
피델릭스,1
글로벌텍스프리,1
흥아해운,1
나이스정보통신,1
백산,1
럭슬,1
아즈텍WB,1
신영와코루,1
한국화장품제조,1
앱코,1
대상홀딩스,1
에스엘바이오닉스,1
FOCUS KRX,1
성문전자,1
디티알오토모티브,1
DMS,1
경보제약,1
케이씨,1
JW생명과학,1
원익머트리얼즈,1
YTN,1
세이브존I&C,1
오스테오닉,1
GRT,1
아세아제지,1
웰바이오텍,1
동방선기,1
나스미디어,1
테고사이언스,1
사운드백신,1
아난티,1
인지디스플레,1
포메탈,1
대림제지,1
탑엔지니어링,1
HK 베스트일레븐액티브,1
모다이노칩,1
성창기업지주,1
에코바이오,1
세아특수강,1
삼영전자,1
티에이치엔,1
대동전자,1
엔에이치스팩19호,1
일성신약,1
엘오티베큠,1
KH바텍,1
풍산홀딩스,1
다이나믹디자인,1
틸론,1
윈하이텍,1
오뚜기,1
디아이티,1
원풍물산,1
부국철강,1
에이텍티앤,1
한국지네틱바이오팜,1
삼진,1
조선선재,1
핸즈코퍼레이션,1
디오,1
드림씨아이에스,1
코웨이,1
카스,0
E1,0
SG&G,0
스포츠서울,0
모헨즈,0
유투바이오,0
COWON,0
EX ,0
SMART ,0
KPX케미칼,0
GKL,0
KCC,0
바이옵트로,0
아이피몬스터,0
쎄노텍,0
유진로봇,0
동일금속,0
KH E&T,0
KT,0
케이아이티,0
삼표시멘트,0
TYM,0
제일파마홀딩스,0
인터엠,0
디피씨,0
폴라리스오피스,0
대림통상,0
한국단자,0
대성홀딩스,0
화천기계,0
에스앤더블류,0
리더스코스메틱,0
동양이엔피,0
OCI,0
신대양제지,0
인화정공,0
GST,0
오디텍,0
POSCO,0
엘디티,0
UCI,0
SBS미디어홀딩스,0
신라에스지,0
디와이피엔에프,0
엔에이치스팩13호,0
현대에이치티,0
일진다이아,0
ISC,0
삼성중공우,0
미래나노텍,0
세하,0
삼성공조,0
부산가스,0
시노펙스,0
펌텍코리아,0
마니커,0
IBK투자증권,0
앤디포스,0
삼영무역,0
삼천리자전거,0
대성엘텍,0
BGF,0
루멘스,0
끄렘드라끄렘,0
코리아나,0
스타플렉스,0
EMW,0
팜스토리,0
야스,0
이수페타시스,0
티피씨글로벌,0
SKC,0
유화증권,0
매일홀딩스,0
다우데이타,0
미래엔에듀파트너,0
BYC,0
홈센타홀딩스,0
동일산업,0
예림당,0
SHD,0
THE E&M,0
KT&G,0
CNH,0
F&F,0
녹원씨엔아이,0
한솔PNS,0
SMART KRX,0
EMB,0
다산네트웍스,0
태평양물산,0
애니젠,0
우주일렉트로,0
마니커에프앤지,0
노루페인트,0
오리엔트정공,0
뉴인텍,0
엘아이에스,0
TJ미디어,0
진양산업,0
비씨월드제약,0
HDC,0
마이다스 커버드콜5%OTM,0
리노스,0
세방전지,0
F&F홀딩스,0
NICE,0
한국자산신탁,0
엔케이물산,0
케어젠,0
제노레이,0
테라셈,0
상상인이안제,0
동양피스톤,0
NEW,0
티엘아이,0
모아텍,0
한솔홀딩스,0
플레이위드,0
아이즈비전,0
블루콤,0
파워넷,0
SNK,0
대원제약,0
태양금속,0
CNT85,0
농심홀딩스,0
빛샘전자,0
유테크,0
대유에이피,0
하이트진로홀딩스,0
렌딩머신,0
KEC,0
KCI,0
삼보판지,0
우리산업,0
제룡전기,0
CBI,0
솔루에타,0
대동금속,0
DB,0
엘앤케이바이오,0
삼양홀딩스,0
화성밸브,0
가온전선,0
에이치엔티,-1
EX 펀더멘탈 ,-1
오로라,-1
DL,-1
광진윈텍,-1
진양홀딩스,-1
디티앤씨,-1
와이어블,-1
서울개인택시복지법인,-1
대보마그네틱,-1
진양폴리,-1
대성파인텍,-1
대동기어,-1
EG,-1
LX하우시스,-1
도부마스크,-1
대양제지,-1
상신전자,-1
희림,-1
유진,-1
부광약품,-1
옴니시스템,-1
원포유,-1
한양,-1
KMH,-1
제일기획,-1
삼일제약,-1
아리온,-1
효성중공업,-1
세아베스틸,-1
롯데칠성,-1
한중엔시에스,-1
이아이디,-1
삼천리,-1
핌스,-1
한국팩키지,-1
대웅,-1
녹십자웰빙,-1
다스코,-1
양지사,-1
예스코홀딩스,-1
티에스이,-1
대주전자재료,-1
에이트원,-1
빅텐츠,-1
경동도시가스,-1
이라이콤,-2
성우전자,-2
바이오톡스텍,-2
흥구석유,-2
다믈멀티미디어,-2
효성ITX,-2
이십일스토어,-2
제이티,-2
동양고속,-2
마이티 커버드콜ATM레버리지,-2
이트론,-2
S&K폴리텍,-2
LF,-2
하이트론,-2
천일고속,-2
SNT홀딩스,-2
신도리코,-2
동양에스텍,-2
흥국화재,-2
STX,-2
에스와이,-2
LS네트웍스,-2
THQ,-2
SK,-2
DSR,-2
KNN,-2
3S,-2
동일제강,-2
HMM,-2
CS,-2
케이티알파,-2
포스코건설,-2
한국유니온제약,-2
제이준코스메틱,-2
페이퍼코리아,-2
남해화학,-2
남화산업,-2
위지트,-2
에스제이그룹,-2
누리플랜,-2
아이마켓코리아,-3
SJM,-3
팜스코,-3
HRS,-3
삼일,-3
에이스침대,-3
삼양옵틱스,-3
케이비제,-3
에이피티씨,-3
씨유메디칼,-3
센코,-3
제주은행,-3
토박스코리아,-3
OQP,-3
엘컴텍,-3
한일철강,-3
일진홀딩스,-3
범양사,-3
에너토크,-3
세원,-3
지나인제약,-3
진로발효,-3
레이언스,-3
인피니티엔티,-3
세기상사,-3
KH 필룩스,-3
아세아시멘트,-3
한국쉘석유,-3
영보화학,-3
에코마이스터,-3
한프,-3
이랜시스,-3
멜파스,-3
내츄럴엔도텍,-4
나노엔텍,-4
비에이치,-4
비플라이소프트,-4
종근당바이오,-4
NPC,-4
맥쿼리인프라,-4
제노코,-4
우리이앤엘,-4
대한화섬,-4
파크시스템스,-4
코엔텍,-4
고영,-4
한탑,-4
락앤락,-4
디씨엠,-4
인지컨트롤스,-4
제이엠티,-4
진성티이씨,-4
서원인텍,-4
휴켐스,-4
CJ ENM,-4
제이씨케미칼,-4
KR모터스,-4
인터코스,-5
베뉴지,-5
한국패러랠,-5
에이치엘비,-5
큐로컴,-5
루트락,-5
하츠,-5
연우,-5
서연,-5
풍국주정,-5
한국기업평가,-5
휴림로봇,-5
대덕전자,-5
위즈코프,-5
LS,-6
투니플레이,-6
일정실업,-6
한화플러스제,-6
아이디스홀딩스,-6
오션스톤,-6
일승,-6
한국석유,-6
AJ네트웍스,-6
KG ETS,-6
에이프로,-6
정다운,-6
씨앤지하이테크,-6
하림,-6
파워 코스피,-6
코오롱머티리얼,-6
디케이락,-6
네패스,-6
제이웨이,-7
영풍제지,-7
유진테크,-7
시스웍,-7
우리들휴브레인,-7
KT서브마린,-7
JTC,-7
서울식품,-7
포스코강판,-7
SG,-7
광주신세계,-7
러셀,-7
상상인,-8
무림페이퍼,-8
크로넥스,-8
한일단조,-8
신원,-8
대한약품,-8
이엠넷,-8
버킷스튜디오,-8
스킨앤스킨,-8
엔에스엠,-8
대성에너지,-8
지역난방공사,-9
티케이케미칼,-9
선광,-9
고려제강,-9
동화기업,-9
금비,-9
티비씨,-9
서흥,-9
한국캐피탈,-9
골드앤에스,-9
팍스넷,-9
코셋,-9
인베니아,-9
푸른저축은행,-10
넷마블네오,-10
롯데관광개발,-10
코리아써우,-10
씨이랩,-10
노루홀딩스,-10
베노홀딩스,-11
신한지주,-11
알파홀딩스,-11
비디아이,-11
티씨케이,-11
한진칼,-11
탑선,-11
화신,-11
에스엔유,-11
메디앙스,-11
디아이씨,-11
에이루트,-11
엠씨넥스,-11
흥국 S&P코리아로우볼,-12
에이비온,-12
경인양행,-12
롯데쇼핑,-12
넥스트BT,-13
덱스터,-13
엠케이전자,-13
안트로젠,-13
코센,-13
동남,-13
서연이화,-13
신흥,-13
상상인인더스트리,-13
와이엠씨,-14
알테오젠,-14
에스디시스템,-14
태광,-14
윈스,-14
케이비아이동국실업,-14
아스타,-14
인스코비,-14
신흥에스이씨,-14
서연탑메탈,-14
코오롱생명과학,-15
레고켐바이오,-15
피피아이,-15
천보,-15
후성,-15
영진약품,-16
부산산업,-16
경방,-16
웹스,-16
미스터블루,-16
이건홀딩스,-16
이앤에치,-16
롯데푸드,-17
SGC에너지,-17
글로본,-17
유아이디,-17
엔에스,-17
삼성물산,-17
내일신문,-17
벽산,-18
네오리진,-18
케이엔더블유,-18
알로이스,-18
에이티세미콘,-18
에이리츠,-18
이루다,-19
테스,-19
비올,-19
대상,-20
에이팩트,-20
이노진,-20
이엘피,-20
더스텔라,-21
오리엔트바이오,-22
경창산업,-22
한진,-23
메디톡스,-23
스맥,-23
현대백화점,-24
이씨에스,-24
아세아,-24
팜젠사이언스,-24
LG유플러스,-24
서부T&D,-24
우진,-25
굿센,-25
가비아,-26
디바이스이엔지,-26
매일방송,-26
영흥,-26
광림,-27
이엠티,-27
네이블,-27
시디즈,-28
현대건설,-28
비비씨,-28
질경이,-28
대한제분,-28
넵튠,-29
현대해상,-29
한온시스템,-29
하나금융지주,-30
앤알커뮤니,-31
씨앗,-31
국동,-31
부방,-31
코프라,-33
한익스프레스,-35
와이엠티,-35
서원,-35
파수,-35
나무가,-35
미로,-35
크라운제과,-35
전방,-36
베스파,-36
맘스터치,-36
덕성,-36
듀오백,-37
남성,-37
풍산,-37
신일전자,-37
디자인,-38
모나미,-38
랩토,-38
미코,-39
그리티,-39
혜인,-39
한세실업,-40
디지틀조선,-41
만도,-42
얼라인드,-42
비비안,-43
베셀,-44
두산,-44
아나패스,-44
고려아연,-45
풍강,-46
키네마스터,-47
흥국,-47
힘스,-49
율호,-49
코스텔,-50
본느,-50
유신,-51
형지I&C,-51
솔본,-53
한창,-54
큐라클,-54
다날,-56
빅텍,-57
무학,-57
해성산업,-58
SK네트웍스,-58
서남,-58
다이오진,-59
삼기,-59
제일약품,-62
한라,-65
롯데손해보험,-65
성안,-66
키이스트,-67
에넥스,-71
조비,-71
한화손해보험,-72
로보로보,-74
유니드,-75
리드코프,-80
지오씨,-85
대동,-86
다산,-87
와이아이케이,-87
에스원,-88
인산가,-91
깨끗한나라,-94
하나금융1,-95
세방,-99
다나와,-99
노랑풍선,-99
좋은사람들,-102
하이브,-106
데브시스터즈,-117
현대위아,-138
태양기계,-148
휴비스,-149
성도이엔지,-159
국일제지,-168
쌍용C&E,-168
한진중공업,-181
대구백화점,-192
이엔플러스,-195
DB손해보험,-197
삼성생명,-229
드림라인,-244
강원랜드,-250
코오롱티슈진,-294
서희건설,-296
신라젠,-376
경남기업,-406
아센디오,-425
도이치모터스,-437
대창,-439
우리금융지주,-461
삼부토건,-486
스타모빌리티,-498
삼성화재,-584
라이트론,-595
SK케미칼,-636
애경산업,-653
유성기업,-849
사조산업,-949
남양유업,-1080
